#Datos de cortas de madeira en Galicia entre 1972 e 2004, tomados dos Anuarios de Estadística Agraria.
#Eduardo Corbelle Rico, 8 de setembro de 2017
#Datos en metros cúbicos
#
#-------------------

ano,provincia,grupo,volume
1972,A Coruña,Coníferas,498837
1972,Lugo,Coníferas,260166
1972,Ourense,Coníferas,85924
1972,Pontevedra,Coníferas,301295
1972,A Coruña,Eucalipto,4977
1972,Lugo,Eucalipto,35592
1972,Ourense,Eucalipto,310
1972,Pontevedra,Eucalipto,36417
1972,A Coruña,Frondosas,4977
1972,Lugo,Frondosas,67457
1972,Ourense,Frondosas,5179
1972,Pontevedra,Frondosas,41188
1973,A Coruña,Coníferas,591260
1973,Lugo,Coníferas,250553
1973,Ourense,Coníferas,91589
1973,Pontevedra,Coníferas,261900
1973,A Coruña,Eucalipto,97745
1973,Lugo,Eucalipto,51019
1973,Ourense,Eucalipto,334
1973,Pontevedra,Eucalipto,48391
1973,A Coruña,Frondosas,113783
1973,Lugo,Frondosas,141951
1973,Ourense,Frondosas,6700
1973,Pontevedra,Frondosas,56902
1974,A Coruña,Coníferas,569806
1974,Lugo,Coníferas,314392
1974,Ourense,Coníferas,116951
1974,Pontevedra,Coníferas,291030
1974,A Coruña,Eucalipto,209172
1974,Lugo,Eucalipto,67305
1974,Ourense,Eucalipto,548
1974,Pontevedra,Eucalipto,99775
1974,A Coruña,Frondosas,230112
1974,Lugo,Frondosas,113266
1974,Ourense,Frondosas,6254
1974,Pontevedra,Frondosas,104061
1975,A Coruña,Coníferas,476141
1975,Lugo,Coníferas,299293
1975,Ourense,Coníferas,178654
1975,Pontevedra,Coníferas,262571
1975,A Coruña,Eucalipto,124378
1975,Lugo,Eucalipto,52977
1975,Ourense,Eucalipto,453
1975,Pontevedra,Eucalipto,76011
1975,A Coruña,Frondosas,138468
1975,Lugo,Frondosas,89641
1975,Ourense,Frondosas,4158
1975,Pontevedra,Frondosas,80056
1976,A Coruña,Coníferas,631089
1976,Lugo,Coníferas,366965
1976,Ourense,Coníferas,151096
1976,Pontevedra,Coníferas,365604
1976,A Coruña,Eucalipto,144625
1976,Lugo,Eucalipto,57437
1976,Ourense,Eucalipto,305
1976,Pontevedra,Eucalipto,75379
